ticket_id,priority,open_group,routing_groups,closed_group,resolution_hours
TKT-0001,P3,Service Desk,,Service Desk,0.6
TKT-0002,P2,Security Operations,Database Administration|Identity & Access|Network Operations,Network Operations,22.3
TKT-0003,P4,Service Desk,,Service Desk,0.0
TKT-0004,P2,Service Desk,Email & Collaboration,Email & Collaboration,16.8
TKT-0005,P3,Security Operations,,Security Operations,1.8
TKT-0006,P3,Network Operations,Cloud Infrastructure|Application Development,Application Development,13.3
TKT-0007,P2,Network Operations,Desktop Support|Cloud Infrastructure,Cloud Infrastructure,22.9
TKT-0008,P4,Help Desk,Telephony,Telephony,5.4
TKT-0009,P4,Help Desk,,Help Desk,0.3
TKT-0010,P3,Network Operations,Email & Collaboration,Email & Collaboration,12.0
TKT-0011,P2,Security Operations,Application Development|Email & Collaboration|Storage & Backup,Storage & Backup,23.9
TKT-0012,P1,Service Desk,Cloud Infrastructure|Database Administration,Database Administration,34.6
TKT-0013,P3,Security Operations,Identity & Access|Application Development,Application Development,12.3
TKT-0014,P1,Service Desk,Network Operations,Network Operations,28.7
TKT-0015,P2,Network Operations,Database Administration|Desktop Support,Desktop Support,18.6
TKT-0016,P2,Help Desk,Security Operations,Security Operations,19.6
TKT-0017,P4,Security Operations,Application Development,Application Development,6.1
TKT-0018,P1,Service Desk,Identity & Access|Desktop Support,Desktop Support,31.8
TKT-0019,P4,Service Desk,,Service Desk,0.5
TKT-0020,P4,Security Operations,Telephony|Identity & Access,Identity & Access,8.5
TKT-0021,P3,Security Operations,,Security Operations,1.7
TKT-0022,P3,Service Desk,Email & Collaboration|Identity & Access,Identity & Access,12.5
TKT-0023,P4,Service Desk,,Service Desk,1.1
TKT-0024,P1,Network Operations,Application Development|Network Operations,Network Operations,32.8
TKT-0025,P2,Service Desk,Email & Collaboration,Email & Collaboration,19.0
TKT-0026,P3,Service Desk,,Service Desk,0.4
TKT-0027,P3,Security Operations,Email & Collaboration,Email & Collaboration,11.5
TKT-0028,P1,Network Operations,Storage & Backup|Database Administration|Telephony,Telephony,34.5
TKT-0029,P4,Service Desk,Security Operations|Cloud Infrastructure,Cloud Infrastructure,11.9
TKT-0030,P1,Help Desk,Identity & Access|Desktop Support,Desktop Support,30.4
TKT-0031,P2,Network Operations,Application Development|Desktop Support|Security Operations,Security Operations,23.1
TKT-0032,P2,Help Desk,,Help Desk,1.7
TKT-0033,P1,Help Desk,Security Operations,Security Operations,27.4
TKT-0034,P1,Help Desk,Application Development|Desktop Support,Desktop Support,31.6
TKT-0035,P4,Network Operations,,Network Operations,1.0
TKT-0036,P2,Network Operations,Desktop Support|Network Operations,Network Operations,21.2
