ticket_id,priority,open_group,routing_groups,closed_group,resolution_hours
TKT-0001,P4,Security Operations,,Security Operations,0.7
TKT-0002,P1,Help Desk,,Help Desk,0.7
TKT-0003,P3,Help Desk,Identity & Access|Email & Collaboration,Email & Collaboration,14.4
TKT-0004,P4,Security Operations,Security Operations|Storage & Backup,Storage & Backup,11.0
TKT-0005,P3,Service Desk,Identity & Access,Identity & Access,13.7
TKT-0006,P2,Security Operations,Desktop Support|Telephony|Identity & Access,Identity & Access,23.0
TKT-0007,P1,Network Operations,Identity & Access|Network Operations|Security Operations,Security Operations,33.4
TKT-0008,P1,Service Desk,Storage & Backup|Network Operations|Cloud Infrastructure,Cloud Infrastructure,33.9
TKT-0009,P2,Help Desk,Security Operations|Identity & Access,Identity & Access,19.5
TKT-0010,P2,Service Desk,Application Development,Application Development,18.9
TKT-0011,P2,Network Operations,Network Operations|Email & Collaboration,Email & Collaboration,19.1
TKT-0012,P4,Network Operations,,Network Operations,0.4
TKT-0013,P3,Security Operations,Database Administration|Network Operations,Network Operations,13.0
TKT-0014,P4,Help Desk,Cloud Infrastructure|Telephony|Storage & Backup,Storage & Backup,14.4
TKT-0015,P4,Security Operations,Desktop Support,Desktop Support,5.4
TKT-0016,P4,Help Desk,,Help Desk,1.6
TKT-0017,P1,Service Desk,Email & Collaboration|Application Development,Application Development,33.5
TKT-0018,P3,Security Operations,Email & Collaboration|Desktop Support|Storage & Backup,Storage & Backup,17.0
TKT-0019,P4,Network Operations,,Network Operations,0.7
TKT-0020,P3,Service Desk,,Service Desk,0.4
TKT-0021,P4,Network Operations,,Network Operations,0.1
TKT-0022,P4,Help Desk,Telephony|Security Operations|Identity & Access,Identity & Access,15.0
TKT-0023,P2,Network Operations,Email & Collaboration,Email & Collaboration,16.7
TKT-0024,P1,Help Desk,Cloud Infrastructure,Cloud Infrastructure,27.0
TKT-0025,P3,Network Operations,,Network Operations,1.4
TKT-0026,P1,Network Operations,Email & Collaboration,Email & Collaboration,30.8
TKT-0027,P4,Help Desk,Telephony,Telephony,7.6
TKT-0028,P4,Network Operations,,Network Operations,0.9
TKT-0029,P4,Help Desk,,Help Desk,0.1
TKT-0030,P2,Help Desk,Identity & Access|Network Operations,Network Operations,20.6
TKT-0031,P4,Security Operations,,Security Operations,0.1
TKT-0032,P4,Help Desk,,Help Desk,0.7
TKT-0033,P3,Service Desk,Security Operations|Desktop Support,Desktop Support,13.8
TKT-0034,P2,Help Desk,Telephony|Email & Collaboration|Application Development,Application Development,21.4
TKT-0035,P3,Security Operations,Telephony|Security Operations,Security Operations,16.3
TKT-0036,P4,Service Desk,,Service Desk,0.4
TKT-0037,P4,Network Operations,,Network Operations,0.6
TKT-0038,P4,Network Operations,Security Operations,Security Operations,9.0
TKT-0039,P4,Help Desk,,Help Desk,0.2
TKT-0040,P1,Network Operations,Storage & Backup,Storage & Backup,31.7
TKT-0041,P3,Service Desk,Database Administration,Database Administration,12.2
TKT-0042,P4,Service Desk,,Service Desk,1.6
TKT-0043,P3,Security Operations,,Security Operations,1.7
TKT-0044,P4,Network Operations,,Network Operations,1.7
TKT-0045,P4,Network Operations,,Network Operations,1.9
TKT-0046,P4,Service Desk,,Service Desk,1.9
TKT-0047,P1,Network Operations,Storage & Backup|Database Administration,Database Administration,34.0
TKT-0048,P4,Help Desk,Cloud Infrastructure|Telephony|Database Administration,Database Administration,13.1
TKT-0049,P1,Network Operations,Desktop Support|Application Development,Application Development,33.9
TKT-0050,P4,Service Desk,Database Administration|Telephony|Email & Collaboration,Email & Collaboration,12.7
TKT-0051,P3,Security Operations,,Security Operations,1.6
TKT-0052,P3,Network Operations,Email & Collaboration,Email & Collaboration,11.7
TKT-0053,P3,Service Desk,Application Development,Application Development,11.1
TKT-0054,P3,Help Desk,Storage & Backup|Desktop Support|Cloud Infrastructure,Cloud Infrastructure,18.3
TKT-0055,P1,Security Operations,Telephony|Database Administration|Cloud Infrastructure,Cloud Infrastructure,37.8
TKT-0056,P2,Service Desk,Security Operations|Email & Collaboration|Application Development,Application Development,21.1
TKT-0057,P2,Security Operations,Security Operations|Email & Collaboration|Network Operations,Network Operations,25.3
TKT-0058,P1,Help Desk,,Help Desk,0.1
TKT-0059,P1,Security Operations,Email & Collaboration|Storage & Backup,Storage & Backup,31.7
TKT-0060,P1,Security Operations,Database Administration|Storage & Backup,Storage & Backup,34.1
TKT-0061,P4,Help Desk,,Help Desk,1.7
TKT-0062,P3,Service Desk,,Service Desk,1.9
TKT-0063,P3,Service Desk,,Service Desk,1.8
TKT-0064,P2,Service Desk,Network Operations|Cloud Infrastructure|Identity & Access,Identity & Access,25.2
TKT-0065,P3,Help Desk,Email & Collaboration|Cloud Infrastructure|Network Operations,Network Operations,16.2
TKT-0066,P1,Help Desk,Security Operations|Database Administration,Database Administration,34.3
TKT-0067,P4,Security Operations,,Security Operations,0.6
TKT-0068,P3,Service Desk,Network Operations|Email & Collaboration,Email & Collaboration,14.9
